msn,work_order,point_id,rail,dx_value (mm),dy_value (mm),dz_value (mm)
11639,1016784283,FR035_MR0765R_SJ_0007_NFF,765R,0.01,1.20,0.16
11640,1016511653,FR035_MR1292L_SJ_0015_NFF,1292L,-0.58,1.04,0.84
11640,1016511653,FR035_MR1292R_SJ_0015_NFF,1292R,0.58,-0.07,0.01
11640,1016511653,FR035_MR0254L_RJ_0001_NFF,254L,-0.08,1.23,-1.11
11640,1016511653,FR035_MR0254R_RJ_0001_NFF,254R,0.27,0.60,0.09
11640,1016511653,FR035_MR0765L_SJ_0007_NFF,765L,-0.21,0.19,-0.40
11640,1016511653,FR035_MR0765R_SJ_0007_NFF,765R,-0.12,0.04,-0.02
11643,1016861637,FR035_MR1292L_SJ_0015_NFF,1292L,0.02,-0.51,0.15
11643,1016861637,FR035_MR1292R_SJ_0015_NFF,1292R,-0.02,-1.15,0.73
11643,1016861637,FR035_MR0254L_RJ_0001_NFF,254L,0.25,-0.79,-1.04
11643,1016861637,FR035_MR0254R_RJ_0001_NFF,254R,0.02,3.53,-0.83
11643,1016861637,FR035_MR0765L_SJ_0007_NFF,765L,-0.18,-0.82,-0.14
11643,1016861637,FR035_MR0765R_SJ_0007_NFF,765R,-0.80,-0.34,0.34
11645,1016880587,FR035_MR1292L_SJ_0015_NFF,1292L,0.18,1.80,0.43
11645,1016880587,FR035_MR1292R_SJ_0015_NFF,1292R,-0.18,-0.67,0.33
11645,1016880587,FR035_MR0254L_RJ_0001_NFF,254L,-0.22,2.13,-0.69
11645,1016880587,FR035_MR0254R_RJ_0001_NFF,254R,-1.00,-0.26,-1.28
11645,1016880587,FR035_MR0765L_SJ_0007_NFF,765L,-0.45,0.33,0.16
11645,1016880587,FR035_MR0765R_SJ_0007_NFF,765R,-0.61,-0.21,0.15
11647,1016531733,FR035_MR1292L_SJ_0015_NFF,1292L,0.01,-0.28,-0.02
11647,1016531733,FR035_MR1292R_SJ_0015_NFF,1292R,-0.01,-0.14,0.28
11647,1016531733,FR035_MR0254L_RJ_0001_NFF,254L,0.01,0.87,-0.04
